Rating,BusinessId,Text,UserId,City,_id,Image_id
4,little-sheep-mongolian-hot-pot-san-gabriel,"came in starving and left fuller than expected so that must mean it was a worthwhile trip right ?haha in all seriousness , little sheep has been on my to try list for a while since i love mongolian style hot pot but have yet to find any new ones after my family 's go to spot closed down .this place was clean and the service was prompt !they are located on the second floor of the plaza .luckily , we came when it was practically empty around noon on a sunday so we were seated immediately .the menu has a huge range of options to order from for $ 23/person ayce which makes me plenty happy .you get three rounds for ordering and can order as much as you want each round !everything tasted delicious and came out quickly too -- we got the house original herbal broth since the spicy broth is supposedly killer spicy .they have a sauce bar with not too many sauces other than the essentials including sesame sauce , satay , and sweet soy sauce .parking is terrible in this plaza , of course , but you might have more luck at the lowest level in the underground parking structure !the only real thing that took off one star for me was that the meat quality noticeably decreased each round , nothing uncommon but still disappointing .overall will come back since it definitely satisfies the hot pot cravings !",YkN5jUU6KYENBhCIlZpsSw,Los Angeles,m5fQIgPjSVAYf6a2n7BpDw,L9Ra0jmM1EgctN5ry29XEQ
2,lolas-peruvian-restaurant-glendale,"end of the world my ass .had the world ended as the mayans predicted , this meal would have been my last .thank quetzacotal it was not because lola 's was not impressive and i apologize for referencing the mayans and not the incans since lola 's is peruvian food .whatever .lola 's is a sit-down restaurant that looks ghetto from the outside , but feels like a steakhouse for old white people on the inside despite the photos of avocados and machu picchu because it is dimly lit .i mean is it just me or are all the old-fashioned steakhouses really fucking dark ?anyhow , lola 's tries to be a fancy restaurant more akin to el pollo inka than mario 's .however , unlike the aforementioned peruvian restaurants , they charge nearly twice as much for less food that simply does not taste as good .when a server notices you walk in from brand boulevard and you are finally seated , lola 's provides complimentary bread and two dipping sauces .one was an aji sauce ( green ) and one was a mayo-chili sauce ( yellowish green ) .the aji sauce had a slight kick and the mayo-chili sauce was interesting and reminded me of wasabi .i just wish that lola 's could have provided bigger portions for the sauces because unlike other peruvian restaurants where they have the sauce on the side of the table , lola 's brings tiny dipping containers where the sauces are refilled too few and far between .as for the main course , the wife and i ordered one lomo saltado and one saltado de mariscos .lomo saltado is the most well-known dish of peru and it 's literally a fusion of indigenous peruvian cuisine married with asian flavors .it consists of strips of sirloin stir-fried in a marinade of soy sauce and other spices with potato wedges , tomatoes and red onions that is served with white rice .saltado de mariscos is basically the same thing as lomo saltado except the beef is replaced with a seafood medley of shrimp , mussels , and squid .taste-wise the flavors were okay , but i felt both dishes were on the salty side .perhaps lola 's needs to capitalize salt in saltado .constant water refills as well as inca kola were needed .service-wise they definitely needed more than two servers for a friday dinner service .trying to get refills and attempting to pay are two of my many pet peeves .but the latter is what i hate the most .i mean i just fucking hate restaurants where you ca n't leave !is it so hard to give me the bill and bring back my credit card within 5 minutes ?especially when the world is ending ?so to recount , one small-portioned lomo saltado dish , one small-portioned saltado de mariscos dish , and one inca kola came out to over $ 40 .all i know is , if the world is going to end again , i wo n't be coming back to lola 's when there are better tasting and cheaper options out there .pictures : mini dipping sauces yelp.com/biz_photos/lola… our meal yelp.com/biz_photos/lola… -- -- -- -- -- -- -- -- -- -- -- - parking is metered parking along brand boulevard or a metered parking lot located east of the restaurant at the intersection of california and maryland .",j1981ubRRPjeRTx9UkMJ5g,Los Angeles,h860J4W-OiYVZsChQCd0uA,lZxDHP3OBIf3x2bnzR2v4A
5,furaibo-restaurant-los-angeles-2,"if i have teba saki craving - i come here .this place serves the most consistent quality of food .i know that if i order my favorite dishes that they will taste the same as i 've had them 5 years ago .highly recommend the sausage fried rice , buta kakuni and of course the teba saki .good place to hangout with friends and their prices are reasonable .all time favorite !",kuZIFK8rwNsk2oRjtbm3vQ,Los Angeles,3XcV7XNndgEdj8cgD8N8cw,OhYDjqCSUR9dMkzT35bTew
3,moodaepo-fullerton-fullerton-2,"went here last night for a good time and some korean bbq with a friend .we got bulgogi , beef brisket and pork belly .the host asked if we wanted to get drinks and we ended up with lychee soju not aware of the price and got a bill for $ 22 for the large .worth the cost ?not at all .our waiter was very attentive when it came time to eat and bbq and the food was decent .the music was playing loud but not too loud to wear you ca n't hear people talking .it was like a club with food haha .would i come back ?sure , why not ?",yOWHZMIs9vtzcRQhIeUVtg,Los Angeles,E9AiTtEDXa8LCqNYZRrvxw,_1lKkoDMnjpriPAy3TsQAA
4,tan-cang-newport-seafood-santa-ana,"was here yesterday with my long lost friends .everything was still very good , accept the price .lol .but well worth it .",Pswml9Ey0dOxBZNIiatNJA,Los Angeles,UnPlVpO7mzoyc0feSmvRmg,GodDd1oWRVTPBzYw6e0_lQ
3,shabuya-la-mirada,"ca n't believe i would came back to this place again .i was still scared to go in after all the itchiness reaction last time i was here .when my friend mentioned that we will have dinner at this restaurant , i was vaguely remember the name of this place .i was n't sure that i 've been here before until my friend turned in the plaza .i was telling her to just go in and eat , i 'll be waiting for you outside .my friend even offered to go to another place , but i did n't want to have her drives around while she was hungry .so after a brief thought , i decided to give this place another try .this time i called for the original house soup base and just did n't eat any seafoods and not much of the vegetables either because the seafoods were frozen , the ice were still stuck on the meats .i personally do n't like to eat those .i was afraid i will get stomachache .i 'm glad they have barley hot tea ( one of my favorites ) .i think drink hot tea is better than cold water when eating this heavy , such as ayce .anyways , all the meats we called for were fresh and tasty , and service were great .and i 'm kinda safe from what i 've ate !mostly called for : 1 .u.s. wagyu chuck tender 2 .angus top blade 3 .shabuya rib eye 4 .u.s. wagyu beef round 5 .prime chuck eye 6 .shabuya special shirt rib `` triple s r '' 7 .natural pork belly",cz4H3lKrT9KbT7tibGPuSw,Los Angeles,wCIJycUJdSC9jLhSb4s94w,3DTqhIQboCmQT6zS7IhT_A
2,california-gogi-grill-los-angeles,"not the greatest korean food , but convenient to work and decently priced .i ordered the chicken and beef bulgogi stacked bowl that was accompanied by brown rice , japchae , and choice of six banchan .you also get choice of sauce including creamy siracha , mustard , spicy chili paste , etc .the portion was pretty generous for one person and i planned on saving the rest for leftovers.until i found a bug on the veggies .needless to say , i threw the rest out and wo n't be coming back .",tJE7iLp2nP6nMYkZ-_eGHA,Los Angeles,88Rym2Rns0cmsaqRX2OeQw,z-ol_SHmg_Zs67OMLII-_A
4,26-beach-restaurant-venice,"been hearing great things about this restaurant and actually tried to come for brunch one weekend .but seeing a crowd outside lead us to go somewhere else : ( finally came here for a quick dinner on my birthday !it was in the middle of the week .not too many parking spaces available.you may want to slow down before approaching the restaurant , parking is in the back .you have to turn into a narrow alley that leads you to the parking area .there were n't any available for us , but we were able to find street parking .for starters .we had the garlic cheeeeezy bread !yesssss soooo good !after looking at thee burger collection , we decided on the .california roll hamburger & spicy tuna burger !chopped ahi tuna on my burger ! ?yesssssssss please = ) the patties itself were n't anything special .the sushi ginger , nori , wasabi-shoyu-mayonnaise dressed it up perfectly and made it a great combination !there are sooo many things i have yet to try !we will def be back , and next time hopefully for brunch !",wFGDlxOsFHngY6C-CK3vbg,Los Angeles,qNOUtdxq23ry8SeEHKqijw,flR8HdI3vbc7-To6_ckPuw
1,curry-up-now-alameda,"not very good .granted we went on their soft opening but their portions are tiny , quality is frozen and service was confused .we got chicken thali , tikka masala bowl , and potato dumplings .the saag paneer was made with frozen spinach and had a strangely campbells like texture .the chicken tasted like it was baked in ketchup .the portions were all kids size even though we did n't order from the kids menu .to top it all off everything is overpriced .do n't come here .i 'll let you in on a secret everything is going to be free on the 23rd .go then and never come back .",wVy5j49d4qXShm3qB_bLfA,San Francisco,Sg95RTij6ZJ8VD-J3ofurQ,5_oMyOXiHhjxmGBGx9ypjw
1,freshwater-dumpling-and-noodle-house-san-marino-3,"the highlight of liu fang yuan tea house is the location .enter the traditionally-inspired chinese garden within the huntington library facilities ( yelp.com/biz/huntington-… ) , flashbacks to my trip to china popped into my head .it 's absolutely gorgeous here , almost on-par with the japanese garden , though i will echo some reviewers in that the landscaping could have been better planned out to better present the small lake/pond .( note : wintertime probably is n't the most ideal when looking at vegetation , though the cherry blossoms looked to be still in bloom . )i can not give the tea house any credit though , since you pay admission into the huntington library* , and you can simply wander the pathways and bridges without having to dine there , as many chinese visitors i saw did .one young family managed to sneak in some burger king for their kids .*haha* asians , got ta love them .our party of 4 tried the mongolian beef ( $ 12.49 ) , the sesame seed orange chicken ( $ 12.49 ) , and the chinese chicken salad ( $ 8.99 ) .the food is mediocre , overpriced , and americanized .[ and this coming from a guy who loves eating at panda express . ]the salad was n't that bad though , with a bit of spiciness , but just to let you know , it 's more like coleslaw than traditional mixed green salad .the food is prepared as you order , which tends to be very slow and causes lines to form outside the door .the soda fountain drink was $ 2.49 , and i was told only one refill .if you do decide to dine at the huntington library , plan ahead and make a reservation for the rose garden tea room instead ( yelp.com/biz/huntington-… ) .as for me , i wo n't dine at liu fang yuan again , but will still visit the beautiful chinese architecture and landscape .* ( unless you go on their free admission days )",D3kM83KJ-0TceDEOyqKflA,Los Angeles,iGdN6ORCZGG8QaRdRx4yRw,cNE-9droUOGVJXJweNxo_g
